CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full_Name,UserName,Domain,Birth_Year,Current_Age,Parent,customer_priority
11027,Mr.,Jessie,Zhao,1946-12-07,M,M,jessie16@adventure-works.com,30000.0,2,Partial College,Clerical,Y,Mr. Jessie Zhao,jessie16,Adventure Works,1946,76.0,Yes,Standard
11028,Mrs.,Jill,Jimenez,1946-04-11,M,F,jill13@adventure-works.com,30000.0,2,Partial College,Clerical,Y,Mrs. Jill Jimenez,jill13,Adventure Works,1946,77.0,Yes,Standard
11029,Mr.,Jimmy,Moreno,1946-12-21,M,M,jimmy9@adventure-works.com,30000.0,2,Partial College,Clerical,Y,Mr. Jimmy Moreno,jimmy9,Adventure Works,1946,76.0,Yes,Standard
11030,Mrs.,Bethany,Yuan,1947-02-22,M,F,bethany10@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,Mrs. Bethany Yuan,bethany10,Adventure Works,1947,76.0,Yes,Standard
11031,Mrs.,Theresa,Ramos,1947-08-22,M,F,theresa13@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,Mrs. Theresa Ramos,theresa13,Adventure Works,1947,75.0,Yes,Standard
11032,Mrs.,Denise,Stone,1947-06-11,M,F,denise10@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,Mrs. Denise Stone,denise10,Adventure Works,1947,75.0,Yes,Standard
11033,Mr.,Jaime,Nath,1947-09-23,M,M,jaime41@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,Mr. Jaime Nath,jaime41,Adventure Works,1947,75.0,Yes,Standard
11034,Mrs.,Ebony,Gonzalez,1947-06-19,M,F,ebony19@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,Mrs. Ebony Gonzalez,ebony19,Adventure Works,1947,75.0,Yes,Standard
11035,,Wendy,Dominguez,1948-02-24,M,,wendy12@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,,wendy12,Adventure Works,1948,75.0,Yes,Standard
11036,Ms.,Jennifer,Russell,1978-12-18,M,F,jennifer93@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,Ms. Jennifer Russell,jennifer93,Adventure Works,1978,44.0,No,Standard
11037,Ms.,Chloe,Garcia,1977-11-27,S,F,chloe27@adventure-works.com,40000.0,0,Partial High School,Clerical,N,Ms. Chloe Garcia,chloe27,Adventure Works,1977,45.0,No,Standard
11038,Mrs.,Diana,Hernandez,1948-03-23,M,F,diana2@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,Mrs. Diana Hernandez,diana2,Adventure Works,1948,75.0,Yes,Standard
11039,Mr.,Marc,Martin,1948-12-17,M,M,marc3@adventure-works.com,30000.0,3,Partial College,Clerical,Y,Mr. Marc Martin,marc3,Adventure Works,1948,74.0,Yes,Standard
11040,Mr.,Jesse,Murphy,1977-08-01,M,M,jesse15@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,Mr. Jesse Murphy,jesse15,Adventure Works,1977,45.0,No,Standard
11041,Ms.,Amanda,Carter,1977-10-16,M,F,amanda53@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,Ms. Amanda Carter,amanda53,Adventure Works,1977,45.0,No,Standard
11042,Ms.,Megan,Sanchez,1977-06-13,M,F,megan28@adventure-works.com,70000.0,0,Partial College,Skilled Manual,Y,Ms. Megan Sanchez,megan28,Adventure Works,1977,45.0,No,Standard
11043,Mr.,Nathan,Simmons,1976-02-24,M,M,nathan11@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,Mr. Nathan Simmons,nathan11,Adventure Works,1976,47.0,No,Standard
11044,Mr.,Adam,Flores,1949-05-24,M,M,adam10@adventure-works.com,20000.0,2,Partial High School,Clerical,Y,Mr. Adam Flores,adam10,Adventure Works,1949,73.0,Yes,Standard
11045,Mr.,Leonard,Nara,1950-05-19,S,M,leonard18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,Mr. Leonard Nara,leonard18,Adventure Works,1950,72.0,Yes,Standard
11046,Mrs.,Christine,Yuan,1950-03-22,M,F,christine4@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,Mrs. Christine Yuan,christine4,Adventure Works,1950,73.0,Yes,Standard
11047,Mrs.,Jaclyn,Lu,1950-02-27,M,F,jaclyn12@adventure-works.com,30000.0,3,High School,Skilled Manual,N,Mrs. Jaclyn Lu,jaclyn12,Adventure Works,1950,73.0,Yes,Standard
11048,Mr.,Jeremy,Powell,1950-11-22,M,M,jeremy26@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,Mr. Jeremy Powell,jeremy26,Adventure Works,1950,72.0,Yes,Standard
11049,Ms.,Carol,Rai,1980-07-18,S,F,carol8@adventure-works.com,40000.0,0,Partial High School,Clerical,Y,Ms. Carol Rai,carol8,Adventure Works,1980,42.0,No,Standard
11050,Mr.,Alan,Zheng,1951-09-07,M,M,alan23@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,Mr. Alan Zheng,alan23,Adventure Works,1951,71.0,Yes,Standard
11051,Mr.,Daniel,Johnson,1951-08-04,S,M,daniel18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,Mr. Daniel Johnson,daniel18,Adventure Works,1951,71.0,Yes,Standard
11052,Mrs.,Heidi,Lopez,1951-08-07,S,F,heidi19@adventure-works.com,40000.0,2,Partial College,Clerical,N,Mrs. Heidi Lopez,heidi19,Adventure Works,1951,71.0,Yes,Standard
11053,Ms.,Ana,Price,1980-08-20,M,F,ana0@adventure-works.com,60000.0,0,Partial College,Skilled Manual,N,Ms. Ana Price,ana0,Adventure Works,1980,42.0,No,Standard
11054,Mrs.,Deanna,Munoz,1952-03-10,M,F,deanna33@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Y,Mrs. Deanna Munoz,deanna33,Adventure Works,1952,71.0,Yes,Standard
11055,Mr.,Gilbert,Raje,1952-03-05,M,M,gilbert35@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Y,Mr. Gilbert Raje,gilbert35,Adventure Works,1952,71.0,Yes,Standard
11056,Mrs.,Michele,Nath,1953-04-03,M,F,michele19@adventure-works.com,40000.0,3,Partial College,Skilled Manual,Y,Mrs. Michele Nath,michele19,Adventure Works,1953,70.0,Yes,Standard
11057,Mr.,Carl,Andersen,1953-10-12,M,M,carl12@adventure-works.com,70000.0,2,Graduate Degree,Management,Y,Mr. Carl Andersen,carl12,Adventure Works,1953,69.0,Yes,Standard
11058,Mr.,Marc,Diaz,1954-04-27,M,M,marc6@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,Mr. Marc Diaz,marc6,Adventure Works,1954,69.0,Yes,Standard
11059,Mrs.,Ashlee,Andersen,1954-04-01,S,F,ashlee19@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,Mrs. Ashlee Andersen,ashlee19,Adventure Works,1954,69.0,Yes,Standard
11060,Mr.,Jon,Zhou,1954-03-17,M,M,jon28@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,Mr. Jon Zhou,jon28,Adventure Works,1954,69.0,Yes,Standard
11061,Mr.,Todd,Gao,1954-02-27,M,M,todd14@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,Mr. Todd Gao,todd14,Adventure Works,1954,69.0,Yes,Standard
11062,Mr.,Noah,Powell,1975-09-02,M,M,noah5@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Mr. Noah Powell,noah5,Adventure Works,1975,47.0,No,Standard
11063,Ms.,Angela,Murphy,1975-04-07,S,F,angela41@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Ms. Angela Murphy,angela41,Adventure Works,1975,48.0,No,Standard
11064,Mr.,Chase,Reed,1975-12-07,M,M,chase21@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Mr. Chase Reed,chase21,Adventure Works,1975,47.0,No,Standard
11065,Ms.,Jessica,Henderson,1973-10-09,M,F,jessica29@adventure-works.com,60000.0,0,Partial College,Skilled Manual,N,Ms. Jessica Henderson,jessica29,Adventure Works,1973,49.0,No,Standard
11066,Ms.,Grace,Butler,1973-11-27,M,F,grace62@adventure-works.com,70000.0,0,Partial College,Professional,Y,Ms. Grace Butler,grace62,Adventure Works,1973,49.0,No,Standard
11067,Mr.,Caleb,Carter,1976-09-25,S,M,caleb40@adventure-works.com,60000.0,0,Partial College,Professional,Y,Mr. Caleb Carter,caleb40,Adventure Works,1976,46.0,No,Standard
11068,Mrs.,Tiffany,Liang,1955-09-23,S,F,tiffany17@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,Mrs. Tiffany Liang,tiffany17,Adventure Works,1955,67.0,Yes,Standard
11069,Mrs.,Carolyn,Navarro,1955-09-21,S,F,carolyn30@adventure-works.com,80000.0,2,High School,Skilled Manual,N,Mrs. Carolyn Navarro,carolyn30,Adventure Works,1955,67.0,Yes,Standard
11070,Mr.,Willie,Raji,1955-04-05,M,M,willie40@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,Mr. Willie Raji,willie40,Adventure Works,1955,68.0,Yes,Standard
11071,Mrs.,Linda,Serrano,1955-06-26,S,F,linda31@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,Mrs. Linda Serrano,linda31,Adventure Works,1955,67.0,Yes,Standard
11072,Mrs.,Casey,Luo,1955-02-06,S,F,casey6@adventure-works.com,80000.0,2,High School,Skilled Manual,N,Mrs. Casey Luo,casey6,Adventure Works,1955,68.0,Yes,Standard
11073,Mrs.,Amy,Ye,1956-08-14,S,F,amy16@adventure-works.com,70000.0,2,High School,Skilled Manual,Y,Mrs. Amy Ye,amy16,Adventure Works,1956,66.0,Yes,Standard
11074,Mr.,Levi,Arun,1956-08-28,S,M,levi6@adventure-works.com,70000.0,2,High School,Skilled Manual,Y,Mr. Levi Arun,levi6,Adventure Works,1956,66.0,Yes,Standard
11075,Mrs.,Felicia,Jimenez,1957-11-16,S,F,felicia4@adventure-works.com,80000.0,2,High School,Professional,Y,Mrs. Felicia Jimenez,felicia4,Adventure Works,1957,65.0,Yes,Standard
11076,Mr.,Blake,Anderson,1957-07-13,S,M,blake9@adventure-works.com,80000.0,2,High School,Professional,Y,Mr. Blake Anderson,blake9,Adventure Works,1957,65.0,Yes,Standard
11077,Mrs.,Leah,Ye,1957-09-19,S,F,leah7@adventure-works.com,80000.0,2,High School,Professional,N,Mrs. Leah Ye,leah7,Adventure Works,1957,65.0,Yes,Standard
11078,Ms.,Gina,Martin,1974-01-10,S,F,gina1@adventure-works.com,40000.0,0,High School,Professional,N,Ms. Gina Martin,gina1,Adventure Works,1974,49.0,No,Standard
11079,Mr.,Donald,Gonzalez,1959-03-11,S,M,donald20@adventure-works.com,160000.0,0,Graduate Degree,Management,Y,Mr. Donald Gonzalez,donald20,Adventure Works,1959,64.0,No,Standard
11080,Mr.,Damien,Chander,1959-07-17,M,M,damien32@adventure-works.com,170000.0,0,Graduate Degree,Management,Y,Mr. Damien Chander,damien32,Adventure Works,1959,63.0,No,Standard
11081,Mrs.,Savannah,Baker,1966-07-24,M,F,savannah39@adventure-works.com,120000.0,2,Bachelors,Management,Y,Mrs. Savannah Baker,savannah39,Adventure Works,1966,56.0,Yes,Standard
11082,,Angela,Butler,1966-08-04,S,,angela17@adventure-works.com,130000.0,0,Graduate Degree,Management,N,,angela17,Adventure Works,1966,56.0,No,Standard
11083,Ms.,Alyssa,Cox,1966-03-15,M,F,alyssa37@adventure-works.com,130000.0,0,Graduate Degree,Management,Y,Ms. Alyssa Cox,alyssa37,Adventure Works,1966,57.0,No,Standard
11084,Mr.,Lucas,Phillips,1957-09-12,S,M,lucas7@adventure-works.com,80000.0,2,Partial High School,Skilled Manual,N,Mr. Lucas Phillips,lucas7,Adventure Works,1957,65.0,Yes,Standard
11085,Mrs.,Emily,Johnson,1957-07-19,S,F,emily1@adventure-works.com,60000.0,2,High School,Professional,N,Mrs. Emily Johnson,emily1,Adventure Works,1957,65.0,Yes,Standard
11086,Mr.,Ryan,Brown,1957-12-23,M,M,ryan43@adventure-works.com,70000.0,2,Partial College,Professional,Y,Mr. Ryan Brown,ryan43,Adventure Works,1957,65.0,Yes,Standard
11087,Mrs.,Tamara,Liang,1957-10-03,M,F,tamara6@adventure-works.com,70000.0,3,Partial College,Professional,N,Mrs. Tamara Liang,tamara6,Adventure Works,1957,65.0,Yes,Standard
11089,Mrs.,Abigail,Price,1957-02-05,S,F,abigail25@adventure-works.com,80000.0,2,Bachelors,Management,Y,Mrs. Abigail Price,abigail25,Adventure Works,1957,66.0,Yes,Standard
11090,Mr.,Trevor,Bryant,1957-12-17,S,M,trevor18@adventure-works.com,90000.0,2,Partial College,Professional,Y,Mr. Trevor Bryant,trevor18,Adventure Works,1957,65.0,Yes,Standard
11091,Mr.,Dalton,Perez,1957-04-04,M,M,dalton37@adventure-works.com,90000.0,2,Partial College,Professional,Y,Mr. Dalton Perez,dalton37,Adventure Works,1957,66.0,Yes,Standard
11092,Mrs.,Cheryl,Diaz,1967-05-06,M,F,cheryl4@adventure-works.com,90000.0,2,Bachelors,Professional,Y,Mrs. Cheryl Diaz,cheryl4,Adventure Works,1967,56.0,Yes,Standard
11093,Ms.,Aimee,He,1967-09-10,M,F,aimee13@adventure-works.com,100000.0,0,Graduate Degree,Management,Y,Ms. Aimee He,aimee13,Adventure Works,1967,55.0,No,Standard
11094,Mr.,Cedric,Ma,1962-04-01,S,M,cedric15@adventure-works.com,70000.0,1,Partial College,Skilled Manual,N,Mr. Cedric Ma,cedric15,Adventure Works,1962,61.0,Yes,Standard
11095,Mr.,Chad,Kumar,1962-09-01,S,M,chad9@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Y,Mr. Chad Kumar,chad9,Adventure Works,1962,60.0,Yes,Standard
11096,Mr.,Andr�s,Anand,1962-08-10,M,M,andr�s18@adventure-works.com,60000.0,1,Bachelors,Professional,Y,Mr. Andr�s Anand,andr�s18,Adventure Works,1962,60.0,Yes,Standard
11097,Mr.,Edwin,Nara,1961-10-27,M,M,edwin39@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,Mr. Edwin Nara,edwin39,Adventure Works,1961,61.0,Yes,Standard
11098,Mrs.,Mallory,Rubio,1961-05-01,S,F,mallory7@adventure-works.com,60000.0,1,Partial College,Skilled Manual,N,Mrs. Mallory Rubio,mallory7,Adventure Works,1961,62.0,Yes,Standard
11099,Mr.,Adam,Ross,1961-03-08,M,M,adam2@adventure-works.com,60000.0,1,Bachelors,Professional,Y,Mr. Adam Ross,adam2,Adventure Works,1961,62.0,Yes,Standard
11100,Mrs.,Latasha,Navarro,1960-09-15,S,F,latasha10@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,Mrs. Latasha Navarro,latasha10,Adventure Works,1960,62.0,Yes,Standard
11101,Ms.,Abby,Sai,1965-05-08,S,F,abby4@adventure-works.com,70000.0,0,Bachelors,Professional,N,Ms. Abby Sai,abby4,Adventure Works,1965,58.0,No,Standard
11102,Mrs.,Julia,Nelson,1965-04-21,S,F,julia7@adventure-works.com,80000.0,5,Bachelors,Professional,Y,Mrs. Julia Nelson,julia7,Adventure Works,1965,58.0,Yes,Standard
11103,Ms.,Cassie,Chande,1964-10-17,S,F,cassie13@adventure-works.com,70000.0,0,Bachelors,Professional,Y,Ms. Cassie Chande,cassie13,Adventure Works,1964,58.0,No,Standard
11104,Mr.,Edgar,Sara,1964-03-11,M,M,edgar11@adventure-works.com,70000.0,0,Bachelors,Professional,N,Mr. Edgar Sara,edgar11,Adventure Works,1964,59.0,No,Standard
11105,Ms.,Candace,Fernandez,1964-12-28,S,F,candace15@adventure-works.com,70000.0,0,Bachelors,Professional,N,Ms. Candace Fernandez,candace15,Adventure Works,1964,58.0,No,Standard
11106,Mr.,Jessie,Liu,1964-09-11,S,M,jessie9@adventure-works.com,70000.0,0,Bachelors,Professional,N,Mr. Jessie Liu,jessie9,Adventure Works,1964,58.0,No,Standard
11107,Mrs.,Bianca,Lin,1959-09-09,M,F,bianca7@adventure-works.com,90000.0,1,Bachelors,Professional,Y,Mrs. Bianca Lin,bianca7,Adventure Works,1959,63.0,Yes,Standard
11108,Ms.,Kari,Alvarez,1963-07-14,S,F,kari25@adventure-works.com,70000.0,0,Bachelors,Professional,N,Ms. Kari Alvarez,kari25,Adventure Works,1963,59.0,No,Standard
11109,Mr.,Ruben,Kapoor,1963-11-05,S,M,ruben1@adventure-works.com,70000.0,0,Bachelors,Professional,N,Mr. Ruben Kapoor,ruben1,Adventure Works,1963,59.0,No,Standard
11110,Mr.,Curtis,Yang,1962-06-06,M,M,curtis5@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,Mr. Curtis Yang,curtis5,Adventure Works,1962,60.0,Yes,Standard
11111,Mrs.,Meredith,Gutierrez,1962-02-23,M,F,meredith34@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,Mrs. Meredith Gutierrez,meredith34,Adventure Works,1962,61.0,Yes,Standard
11112,Mrs.,Crystal,Wang,1962-09-09,M,F,crystal3@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,Mrs. Crystal Wang,crystal3,Adventure Works,1962,60.0,Yes,Standard
11113,Mr.,Micheal,Blanco,1962-02-21,M,M,micheal11@adventure-works.com,70000.0,5,Bachelors,Professional,Y,Mr. Micheal Blanco,micheal11,Adventure Works,1962,61.0,Yes,Standard
11114,Mrs.,Leslie,Moreno,1962-05-28,S,F,leslie7@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mrs. Leslie Moreno,leslie7,Adventure Works,1962,60.0,Yes,Standard
11115,Mr.,Alvin,Cai,1962-02-12,M,M,alvin20@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mr. Alvin Cai,alvin20,Adventure Works,1962,61.0,Yes,Standard
11116,Mr.,Clinton,Carlson,1962-10-07,M,M,clinton14@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mr. Clinton Carlson,clinton14,Adventure Works,1962,60.0,Yes,Standard
11117,Mrs.,April,Deng,1961-02-21,M,F,april1@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mrs. April Deng,april1,Adventure Works,1961,62.0,Yes,Standard
11118,Mr.,Alvin,Zeng,1957-07-03,S,M,alvin21@adventure-works.com,80000.0,1,Partial College,Skilled Manual,N,Mr. Alvin Zeng,alvin21,Adventure Works,1957,65.0,Yes,Standard
11119,Mr.,Evan,James,1935-04-10,S,M,evan8@adventure-works.com,30000.0,2,Partial College,Clerical,N,Mr. Evan James,evan8,Adventure Works,1935,88.0,Yes,Standard
11121,Mr.,Orlando,Suarez,1960-11-18,M,M,orlando19@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mr. Orlando Suarez,orlando19,Adventure Works,1960,62.0,Yes,Standard
11122,Mr.,Byron,Vazquez,1960-04-02,M,M,byron9@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mr. Byron Vazquez,byron9,Adventure Works,1960,63.0,Yes,Standard
11123,Mr.,Philip,Alvarez,1960-06-20,M,M,philip4@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,Mr. Philip Alvarez,philip4,Adventure Works,1960,62.0,Yes,Standard
11124,Mr.,Ross,Jordan,1957-07-27,S,M,ross1@adventure-works.com,80000.0,1,Partial College,Skilled Manual,Y,Mr. Ross Jordan,ross1,Adventure Works,1957,65.0,Yes,Standard
11125,Mrs.,Dana,Navarro,1956-04-08,S,F,dana2@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Y,Mrs. Dana Navarro,dana2,Adventure Works,1956,67.0,Yes,Standard
11126,Mr.,Shaun,Carson,1949-04-07,M,M,shaun16@adventure-works.com,10000.0,2,High School,Skilled Manual,N,Mr. Shaun Carson,shaun16,Adventure Works,1949,74.0,Yes,Standard
11127,Ms.,Jan,Edwards,1975-10-21,M,F,jan11@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Ms. Jan Edwards,jan11,Adventure Works,1975,47.0,No,Standard
11128,Ms.,Samantha,Long,1975-12-05,M,F,samantha35@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Ms. Samantha Long,samantha35,Adventure Works,1975,47.0,No,Standard
11129,Ms.,Julia,Wright,1975-08-05,S,F,julia17@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Ms. Julia Wright,julia17,Adventure Works,1975,47.0,No,Standard
11130,Ms.,Caroline,Russell,1980-01-06,M,F,caroline21@adventure-works.com,30000.0,0,High School,Skilled Manual,Y,Ms. Caroline Russell,caroline21,Adventure Works,1980,43.0,No,Standard
11131,Ms.,Amanda,Rivera,1980-03-12,M,F,amanda7@adventure-works.com,30000.0,0,High School,Skilled Manual,N,Ms. Amanda Rivera,amanda7,Adventure Works,1980,43.0,No,Standard
11132,Ms.,Melissa,Richardson,1980-10-26,S,F,melissa31@adventure-works.com,30000.0,0,High School,Skilled Manual,N,Ms. Melissa Richardson,melissa31,Adventure Works,1980,42.0,No,Standard
11133,Ms.,Angela,Griffin,1980-09-08,S,F,angela23@adventure-works.com,30000.0,0,Partial High School,Clerical,N,Ms. Angela Griffin,angela23,Adventure Works,1980,42.0,No,Standard
11134,Mr.,Larry,Townsend,1946-02-26,S,M,larry14@adventure-works.com,10000.0,5,High School,Skilled Manual,Y,Mr. Larry Townsend,larry14,Adventure Works,1946,77.0,Yes,Standard
11135,Mr.,Marcus,Harris,1979-11-03,S,M,marcus14@adventure-works.com,30000.0,0,Partial High School,Clerical,N,Mr. Marcus Harris,marcus14,Adventure Works,1979,43.0,No,Standard
11136,Ms.,Brianna,Morgan,1978-10-26,S,F,brianna30@adventure-works.com,40000.0,0,High School,Skilled Manual,N,Ms. Brianna Morgan,brianna30,Adventure Works,1978,44.0,No,Standard
11137,Ms.,Jasmine,Taylor,1978-07-20,M,F,jasmine7@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,Ms. Jasmine Taylor,jasmine7,Adventure Works,1978,44.0,No,Standard
11138,Ms.,Lauren,Davis,1978-09-15,M,F,lauren23@adventure-works.com,40000.0,0,High School,Skilled Manual,N,Ms. Lauren Davis,lauren23,Adventure Works,1978,44.0,No,Standard
11139,Mrs.,Tanya,Moreno,1938-11-09,S,F,tanya2@adventure-works.com,30000.0,2,Partial College,Clerical,N,Mrs. Tanya Moreno,tanya2,Adventure Works,1938,84.0,Yes,Standard
