CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,UserName,Domain,Birth_Year,Current_Age,Parent
11019,Mr.,Luke,Lal,1978-03-07,S,M,luke18@adventure-works.com,40000.0,0,High School,Skilled Manual,N,luke18,adventure-works,1978,45.0,No
11020,Mr.,Jordan,King,1978-09-20,S,M,jordan73@adventure-works.com,40000.0,0,High School,Skilled Manual,N,jordan73,adventure-works,1978,44.0,No
11021,Ms.,Destiny,Wilson,1978-09-03,S,F,destiny7@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,destiny7,adventure-works,1978,44.0,No
11022,Mr.,Ethan,Zhang,1978-10-12,M,M,ethan20@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,ethan20,adventure-works,1978,44.0,No
11023,Mr.,Seth,Edwards,1978-10-11,M,M,seth46@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,seth46,adventure-works,1978,44.0,No
11024,Mr.,Russell,Xie,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,russell7,adventure-works,1978,44.0,No
11025,,Alejandro,Beck,1945-12-23,M,,alejandro45@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,alejandro45,adventure-works,1945,77.0,Yes
11026,Mr.,Harold,Sai,1946-04-03,S,M,harold3@adventure-works.com,30000.0,2,Partial College,Clerical,N,harold3,adventure-works,1946,77.0,Yes
11027,Mr.,Jessie,Zhao,1946-12-07,M,M,jessie16@adventure-works.com,30000.0,2,Partial College,Clerical,Y,jessie16,adventure-works,1946,76.0,Yes
11028,Mrs.,Jill,Jimenez,1946-04-11,M,F,jill13@adventure-works.com,30000.0,2,Partial College,Clerical,Y,jill13,adventure-works,1946,77.0,Yes
11029,Mr.,Jimmy,Moreno,1946-12-21,M,M,jimmy9@adventure-works.com,30000.0,2,Partial College,Clerical,Y,jimmy9,adventure-works,1946,76.0,Yes
11030,Mrs.,Bethany,Yuan,1947-02-22,M,F,bethany10@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,bethany10,adventure-works,1947,76.0,Yes
11031,Mrs.,Theresa,Ramos,1947-08-22,M,F,theresa13@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,theresa13,adventure-works,1947,75.0,Yes
11032,Mrs.,Denise,Stone,1947-06-11,M,F,denise10@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,denise10,adventure-works,1947,75.0,Yes
11033,Mr.,Jaime,Nath,1947-09-23,M,M,jaime41@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,jaime41,adventure-works,1947,75.0,Yes
11034,Mrs.,Ebony,Gonzalez,1947-06-19,M,F,ebony19@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,ebony19,adventure-works,1947,75.0,Yes
11035,,Wendy,Dominguez,1948-02-24,M,,wendy12@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,wendy12,adventure-works,1948,75.0,Yes
11036,Ms.,Jennifer,Russell,1978-12-18,M,F,jennifer93@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,jennifer93,adventure-works,1978,44.0,No
11037,Ms.,Chloe,Garcia,1977-11-27,S,F,chloe27@adventure-works.com,40000.0,0,Partial High School,Clerical,N,chloe27,adventure-works,1977,45.0,No
11038,Mrs.,Diana,Hernandez,1948-03-23,M,F,diana2@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,diana2,adventure-works,1948,75.0,Yes
11039,Mr.,Marc,Martin,1948-12-17,M,M,marc3@adventure-works.com,30000.0,3,Partial College,Clerical,Y,marc3,adventure-works,1948,74.0,Yes
11040,Mr.,Jesse,Murphy,1977-08-01,M,M,jesse15@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,jesse15,adventure-works,1977,45.0,No
11041,Ms.,Amanda,Carter,1977-10-16,M,F,amanda53@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,amanda53,adventure-works,1977,45.0,No
11042,Ms.,Megan,Sanchez,1977-06-13,M,F,megan28@adventure-works.com,70000.0,0,Partial College,Skilled Manual,Y,megan28,adventure-works,1977,45.0,No
11043,Mr.,Nathan,Simmons,1976-02-24,M,M,nathan11@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,nathan11,adventure-works,1976,47.0,No
11044,Mr.,Adam,Flores,1949-05-24,M,M,adam10@adventure-works.com,20000.0,2,Partial High School,Clerical,Y,adam10,adventure-works,1949,73.0,Yes
11045,Mr.,Leonard,Nara,1950-05-19,S,M,leonard18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,leonard18,adventure-works,1950,72.0,Yes
11046,Mrs.,Christine,Yuan,1950-03-22,M,F,christine4@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,christine4,adventure-works,1950,73.0,Yes
11047,Mrs.,Jaclyn,Lu,1950-02-27,M,F,jaclyn12@adventure-works.com,30000.0,3,High School,Skilled Manual,N,jaclyn12,adventure-works,1950,73.0,Yes
11048,Mr.,Jeremy,Powell,1950-11-22,M,M,jeremy26@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,jeremy26,adventure-works,1950,72.0,Yes
11049,Ms.,Carol,Rai,1980-07-18,S,F,carol8@adventure-works.com,40000.0,0,Partial High School,Clerical,Y,carol8,adventure-works,1980,42.0,No
11050,Mr.,Alan,Zheng,1951-09-07,M,M,alan23@adventure-works.com,30000.0,3,High School,Skilled Manual,Y,alan23,adventure-works,1951,71.0,Yes
11051,Mr.,Daniel,Johnson,1951-08-04,S,M,daniel18@adventure-works.com,30000.0,3,High School,Skilled Manual,N,daniel18,adventure-works,1951,71.0,Yes
11052,Mrs.,Heidi,Lopez,1951-08-07,S,F,heidi19@adventure-works.com,40000.0,2,Partial College,Clerical,N,heidi19,adventure-works,1951,71.0,Yes
11053,Ms.,Ana,Price,1980-08-20,M,F,ana0@adventure-works.com,60000.0,0,Partial College,Skilled Manual,N,ana0,adventure-works,1980,42.0,No
11054,Mrs.,Deanna,Munoz,1952-03-10,M,F,deanna33@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Y,deanna33,adventure-works,1952,71.0,Yes
11055,Mr.,Gilbert,Raje,1952-03-05,M,M,gilbert35@adventure-works.com,40000.0,2,Partial College,Skilled Manual,Y,gilbert35,adventure-works,1952,71.0,Yes
11056,Mrs.,Michele,Nath,1953-04-03,M,F,michele19@adventure-works.com,40000.0,3,Partial College,Skilled Manual,Y,michele19,adventure-works,1953,70.0,Yes
11057,Mr.,Carl,Andersen,1953-10-12,M,M,carl12@adventure-works.com,70000.0,2,Graduate Degree,Management,Y,carl12,adventure-works,1953,69.0,Yes
11058,Mr.,Marc,Diaz,1954-04-27,M,M,marc6@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,marc6,adventure-works,1954,68.0,Yes
11059,Mrs.,Ashlee,Andersen,1954-04-01,S,F,ashlee19@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,ashlee19,adventure-works,1954,69.0,Yes
11060,Mr.,Jon,Zhou,1954-03-17,M,M,jon28@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,jon28,adventure-works,1954,69.0,Yes
11061,Mr.,Todd,Gao,1954-02-27,M,M,todd14@adventure-works.com,80000.0,2,Partial College,Skilled Manual,Y,todd14,adventure-works,1954,69.0,Yes
11062,Mr.,Noah,Powell,1975-09-02,M,M,noah5@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,noah5,adventure-works,1975,47.0,No
11063,Ms.,Angela,Murphy,1975-04-07,S,F,angela41@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,angela41,adventure-works,1975,48.0,No
11064,Mr.,Chase,Reed,1975-12-07,M,M,chase21@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,chase21,adventure-works,1975,47.0,No
11065,Ms.,Jessica,Henderson,1973-10-09,M,F,jessica29@adventure-works.com,60000.0,0,Partial College,Skilled Manual,N,jessica29,adventure-works,1973,49.0,No
11066,Ms.,Grace,Butler,1973-11-27,M,F,grace62@adventure-works.com,70000.0,0,Partial College,Professional,Y,grace62,adventure-works,1973,49.0,No
11067,Mr.,Caleb,Carter,1976-09-25,S,M,caleb40@adventure-works.com,60000.0,0,Partial College,Professional,Y,caleb40,adventure-works,1976,46.0,No
11068,Mrs.,Tiffany,Liang,1955-09-23,S,F,tiffany17@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,tiffany17,adventure-works,1955,67.0,Yes
11069,Mrs.,Carolyn,Navarro,1955-09-21,S,F,carolyn30@adventure-works.com,80000.0,2,High School,Skilled Manual,N,carolyn30,adventure-works,1955,67.0,Yes
11070,Mr.,Willie,Raji,1955-04-05,M,M,willie40@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,willie40,adventure-works,1955,68.0,Yes
11071,Mrs.,Linda,Serrano,1955-06-26,S,F,linda31@adventure-works.com,80000.0,2,High School,Skilled Manual,Y,linda31,adventure-works,1955,67.0,Yes
11072,Mrs.,Casey,Luo,1955-02-06,S,F,casey6@adventure-works.com,80000.0,2,High School,Skilled Manual,N,casey6,adventure-works,1955,68.0,Yes
11073,Mrs.,Amy,Ye,1956-08-14,S,F,amy16@adventure-works.com,70000.0,2,High School,Skilled Manual,Y,amy16,adventure-works,1956,66.0,Yes
11074,Mr.,Levi,Arun,1956-08-28,S,M,levi6@adventure-works.com,70000.0,2,High School,Skilled Manual,Y,levi6,adventure-works,1956,66.0,Yes
11075,Mrs.,Felicia,Jimenez,1957-11-16,S,F,felicia4@adventure-works.com,80000.0,2,High School,Professional,Y,felicia4,adventure-works,1957,65.0,Yes
11076,Mr.,Blake,Anderson,1957-07-13,S,M,blake9@adventure-works.com,80000.0,2,High School,Professional,Y,blake9,adventure-works,1957,65.0,Yes
11077,Mrs.,Leah,Ye,1957-09-19,S,F,leah7@adventure-works.com,80000.0,2,High School,Professional,N,leah7,adventure-works,1957,65.0,Yes
11078,Ms.,Gina,Martin,1974-01-10,S,F,gina1@adventure-works.com,40000.0,0,High School,Professional,N,gina1,adventure-works,1974,49.0,No
11079,Mr.,Donald,Gonzalez,1959-03-11,S,M,donald20@adventure-works.com,160000.0,0,Graduate Degree,Management,Y,donald20,adventure-works,1959,64.0,No
11080,Mr.,Damien,Chander,1959-07-17,M,M,damien32@adventure-works.com,170000.0,0,Graduate Degree,Management,Y,damien32,adventure-works,1959,63.0,No
11081,Mrs.,Savannah,Baker,1966-07-24,M,F,savannah39@adventure-works.com,120000.0,2,Bachelors,Management,Y,savannah39,adventure-works,1966,56.0,Yes
11082,,Angela,Butler,1966-08-04,S,,angela17@adventure-works.com,130000.0,0,Graduate Degree,Management,N,angela17,adventure-works,1966,56.0,No
11083,Ms.,Alyssa,Cox,1966-03-15,M,F,alyssa37@adventure-works.com,130000.0,0,Graduate Degree,Management,Y,alyssa37,adventure-works,1966,57.0,No
11084,Mr.,Lucas,Phillips,1957-09-12,S,M,lucas7@adventure-works.com,80000.0,2,Partial High School,Skilled Manual,N,lucas7,adventure-works,1957,65.0,Yes
11085,Mrs.,Emily,Johnson,1957-07-19,S,F,emily1@adventure-works.com,60000.0,2,High School,Professional,N,emily1,adventure-works,1957,65.0,Yes
11086,Mr.,Ryan,Brown,1957-12-23,M,M,ryan43@adventure-works.com,70000.0,2,Partial College,Professional,Y,ryan43,adventure-works,1957,65.0,Yes
11087,Mrs.,Tamara,Liang,1957-10-03,M,F,tamara6@adventure-works.com,70000.0,3,Partial College,Professional,N,tamara6,adventure-works,1957,65.0,Yes
11089,Mrs.,Abigail,Price,1957-02-05,S,F,abigail25@adventure-works.com,80000.0,2,Bachelors,Management,Y,abigail25,adventure-works,1957,66.0,Yes
11090,Mr.,Trevor,Bryant,1957-12-17,S,M,trevor18@adventure-works.com,90000.0,2,Partial College,Professional,Y,trevor18,adventure-works,1957,65.0,Yes
11091,Mr.,Dalton,Perez,1957-04-04,M,M,dalton37@adventure-works.com,90000.0,2,Partial College,Professional,Y,dalton37,adventure-works,1957,66.0,Yes
11092,Mrs.,Cheryl,Diaz,1967-05-06,M,F,cheryl4@adventure-works.com,90000.0,2,Bachelors,Professional,Y,cheryl4,adventure-works,1967,55.0,Yes
11093,Ms.,Aimee,He,1967-09-10,M,F,aimee13@adventure-works.com,100000.0,0,Graduate Degree,Management,Y,aimee13,adventure-works,1967,55.0,No
11094,Mr.,Cedric,Ma,1962-04-01,S,M,cedric15@adventure-works.com,70000.0,1,Partial College,Skilled Manual,N,cedric15,adventure-works,1962,61.0,Yes
11095,Mr.,Chad,Kumar,1962-09-01,S,M,chad9@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Y,chad9,adventure-works,1962,60.0,Yes
11096,Mr.,Andr�s,Anand,1962-08-10,M,M,andr�s18@adventure-works.com,60000.0,1,Bachelors,Professional,Y,andr�s18,adventure-works,1962,60.0,Yes
11097,Mr.,Edwin,Nara,1961-10-27,M,M,edwin39@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,edwin39,adventure-works,1961,61.0,Yes
11098,Mrs.,Mallory,Rubio,1961-05-01,S,F,mallory7@adventure-works.com,60000.0,1,Partial College,Skilled Manual,N,mallory7,adventure-works,1961,61.0,Yes
11099,Mr.,Adam,Ross,1961-03-08,M,M,adam2@adventure-works.com,60000.0,1,Bachelors,Professional,Y,adam2,adventure-works,1961,62.0,Yes
11100,Mrs.,Latasha,Navarro,1960-09-15,S,F,latasha10@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,latasha10,adventure-works,1960,62.0,Yes
11101,Ms.,Abby,Sai,1965-05-08,S,F,abby4@adventure-works.com,70000.0,0,Bachelors,Professional,N,abby4,adventure-works,1965,57.0,No
11102,Mrs.,Julia,Nelson,1965-04-21,S,F,julia7@adventure-works.com,80000.0,5,Bachelors,Professional,Y,julia7,adventure-works,1965,57.0,Yes
11103,Ms.,Cassie,Chande,1964-10-17,S,F,cassie13@adventure-works.com,70000.0,0,Bachelors,Professional,Y,cassie13,adventure-works,1964,58.0,No
11104,Mr.,Edgar,Sara,1964-03-11,M,M,edgar11@adventure-works.com,70000.0,0,Bachelors,Professional,N,edgar11,adventure-works,1964,59.0,No
11105,Ms.,Candace,Fernandez,1964-12-28,S,F,candace15@adventure-works.com,70000.0,0,Bachelors,Professional,N,candace15,adventure-works,1964,58.0,No
11106,Mr.,Jessie,Liu,1964-09-11,S,M,jessie9@adventure-works.com,70000.0,0,Bachelors,Professional,N,jessie9,adventure-works,1964,58.0,No
11107,Mrs.,Bianca,Lin,1959-09-09,M,F,bianca7@adventure-works.com,90000.0,1,Bachelors,Professional,Y,bianca7,adventure-works,1959,63.0,Yes
11108,Ms.,Kari,Alvarez,1963-07-14,S,F,kari25@adventure-works.com,70000.0,0,Bachelors,Professional,N,kari25,adventure-works,1963,59.0,No
11109,Mr.,Ruben,Kapoor,1963-11-05,S,M,ruben1@adventure-works.com,70000.0,0,Bachelors,Professional,N,ruben1,adventure-works,1963,59.0,No
11110,Mr.,Curtis,Yang,1962-06-06,M,M,curtis5@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,curtis5,adventure-works,1962,60.0,Yes
11111,Mrs.,Meredith,Gutierrez,1962-02-23,M,F,meredith34@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,meredith34,adventure-works,1962,61.0,Yes
11112,Mrs.,Crystal,Wang,1962-09-09,M,F,crystal3@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Y,crystal3,adventure-works,1962,60.0,Yes
11113,Mr.,Micheal,Blanco,1962-02-21,M,M,micheal11@adventure-works.com,70000.0,5,Bachelors,Professional,Y,micheal11,adventure-works,1962,61.0,Yes
11114,Mrs.,Leslie,Moreno,1962-05-28,S,F,leslie7@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,leslie7,adventure-works,1962,60.0,Yes
11115,Mr.,Alvin,Cai,1962-02-12,M,M,alvin20@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,alvin20,adventure-works,1962,61.0,Yes
11116,Mr.,Clinton,Carlson,1962-10-07,M,M,clinton14@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,clinton14,adventure-works,1962,60.0,Yes
11117,Mrs.,April,Deng,1961-02-21,M,F,april1@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,april1,adventure-works,1961,62.0,Yes
11118,Mr.,Alvin,Zeng,1957-07-03,S,M,alvin21@adventure-works.com,80000.0,1,Partial College,Skilled Manual,N,alvin21,adventure-works,1957,65.0,Yes
11119,Mr.,Evan,James,1935-04-10,S,M,evan8@adventure-works.com,30000.0,2,Partial College,Clerical,N,evan8,adventure-works,1935,88.0,Yes
11121,Mr.,Orlando,Suarez,1960-11-18,M,M,orlando19@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,orlando19,adventure-works,1960,62.0,Yes
11122,Mr.,Byron,Vazquez,1960-04-02,M,M,byron9@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,byron9,adventure-works,1960,63.0,Yes
11123,Mr.,Philip,Alvarez,1960-06-20,M,M,philip4@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Y,philip4,adventure-works,1960,62.0,Yes
11124,Mr.,Ross,Jordan,1957-07-27,S,M,ross1@adventure-works.com,80000.0,1,Partial College,Skilled Manual,Y,ross1,adventure-works,1957,65.0,Yes
11125,Mrs.,Dana,Navarro,1956-04-08,S,F,dana2@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Y,dana2,adventure-works,1956,67.0,Yes
11126,Mr.,Shaun,Carson,1949-04-07,M,M,shaun16@adventure-works.com,10000.0,2,High School,Skilled Manual,N,shaun16,adventure-works,1949,74.0,Yes
11127,Ms.,Jan,Edwards,1975-10-21,M,F,jan11@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,jan11,adventure-works,1975,47.0,No
11128,Ms.,Samantha,Long,1975-12-05,M,F,samantha35@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,samantha35,adventure-works,1975,47.0,No
11129,Ms.,Julia,Wright,1975-08-05,S,F,julia17@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,julia17,adventure-works,1975,47.0,No
11130,Ms.,Caroline,Russell,1980-01-06,M,F,caroline21@adventure-works.com,30000.0,0,High School,Skilled Manual,Y,caroline21,adventure-works,1980,43.0,No
11131,Ms.,Amanda,Rivera,1980-03-12,M,F,amanda7@adventure-works.com,30000.0,0,High School,Skilled Manual,N,amanda7,adventure-works,1980,43.0,No
11132,Ms.,Melissa,Richardson,1980-10-26,S,F,melissa31@adventure-works.com,30000.0,0,High School,Skilled Manual,N,melissa31,adventure-works,1980,42.0,No
11133,Ms.,Angela,Griffin,1980-09-08,S,F,angela23@adventure-works.com,30000.0,0,Partial High School,Clerical,N,angela23,adventure-works,1980,42.0,No
11134,Mr.,Larry,Townsend,1946-02-26,S,M,larry14@adventure-works.com,10000.0,5,High School,Skilled Manual,Y,larry14,adventure-works,1946,77.0,Yes
11135,Mr.,Marcus,Harris,1979-11-03,S,M,marcus14@adventure-works.com,30000.0,0,Partial High School,Clerical,N,marcus14,adventure-works,1979,43.0,No
11136,Ms.,Brianna,Morgan,1978-10-26,S,F,brianna30@adventure-works.com,40000.0,0,High School,Skilled Manual,N,brianna30,adventure-works,1978,44.0,No
11137,Ms.,Jasmine,Taylor,1978-07-20,M,F,jasmine7@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,jasmine7,adventure-works,1978,44.0,No
11138,Ms.,Lauren,Davis,1978-09-15,M,F,lauren23@adventure-works.com,40000.0,0,High School,Skilled Manual,N,lauren23,adventure-works,1978,44.0,No
11139,Mrs.,Tanya,Moreno,1938-11-09,S,F,tanya2@adventure-works.com,30000.0,2,Partial College,Clerical,N,tanya2,adventure-works,1938,84.0,Yes
11140,Mr.,Javier,Alvarez,1977-02-11,S,M,javier1@adventure-works.com,30000.0,0,Partial High School,Clerical,N,javier1,adventure-works,1977,46.0,No
11141,Ms.,Nicole,Ramirez,1977-06-21,M,F,nicole42@adventure-works.com,40000.0,0,High School,Skilled Manual,N,nicole42,adventure-works,1977,45.0,No
11142,Mr.,Eduardo,Patterson,1977-08-14,S,M,eduardo55@adventure-works.com,40000.0,0,High School,Skilled Manual,N,eduardo55,adventure-works,1977,45.0,No
11143,Mr.,Jonathan,Henderson,1977-02-04,M,M,jonathan4@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,jonathan4,adventure-works,1977,46.0,No
11144,Mr.,Edward,Hernandez,1979-09-09,S,M,edward48@adventure-works.com,40000.0,0,High School,Skilled Manual,N,edward48,adventure-works,1979,43.0,No
11145,Ms.,Jasmine,Coleman,1979-12-08,S,F,jasmine46@adventure-works.com,40000.0,0,High School,Skilled Manual,N,jasmine46,adventure-works,1979,43.0,No
11146,Mrs.,Karla,Goel,1939-08-26,S,F,karla20@adventure-works.com,40000.0,2,Bachelors,Management,Y,karla20,adventure-works,1939,83.0,Yes
11147,Mr.,Ernest,Wu,1939-02-05,M,M,ernest6@adventure-works.com,60000.0,2,Graduate Degree,Management,Y,ernest6,adventure-works,1939,84.0,Yes
11148,Mr.,Ross,Vazquez,1941-08-16,M,M,ross32@adventure-works.com,40000.0,2,Bachelors,Management,Y,ross32,adventure-works,1941,81.0,Yes
11149,Mr.,Theodore,Gill,1941-04-20,M,M,theodore14@adventure-works.com,40000.0,2,Bachelors,Management,Y,theodore14,adventure-works,1941,81.0,Yes
11150,Mr.,Russell,Shen,1941-03-15,S,M,russell6@adventure-works.com,40000.0,2,Bachelors,Management,Y,russell6,adventure-works,1941,82.0,Yes
11151,Mrs.,Melinda,Gill,1942-02-25,S,F,melinda9@adventure-works.com,60000.0,2,Graduate Degree,Management,N,melinda9,adventure-works,1942,81.0,Yes
11152,Mr.,James,Williams,1976-01-10,S,M,james77@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,james77,adventure-works,1976,47.0,No
11153,Ms.,Angela,James,1976-06-23,M,F,angela34@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,angela34,adventure-works,1976,46.0,No
11154,Ms.,Megan,Walker,1976-08-21,S,F,megan25@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,megan25,adventure-works,1976,46.0,No
11155,Mr.,Hunter,Robinson,1976-01-26,S,M,hunter50@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,hunter50,adventure-works,1976,47.0,No
11156,Ms.,Maria,Roberts,1976-02-07,S,F,maria47@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,maria47,adventure-works,1976,47.0,No
11157,Ms.,Hannah,Long,1975-06-11,M,F,hannah32@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,hannah32,adventure-works,1975,47.0,No
11158,Mr.,Jason,Wright,1975-10-08,S,M,jason46@adventure-works.com,40000.0,0,High School,Skilled Manual,Y,jason46,adventure-works,1975,47.0,No
11159,Ms.,Brianna,Hughes,1975-09-17,S,F,brianna57@adventure-works.com,40000.0,0,High School,Skilled Manual,N,brianna57,adventure-works,1975,47.0,No
11160,Mr.,Maurice,Tang,1974-01-08,S,M,maurice4@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,maurice4,adventure-works,1974,49.0,No
11161,Ms.,Emily,Wood,1974-04-22,S,F,emily27@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,emily27,adventure-works,1974,48.0,No
11162,Mr.,Chase,Cox,1974-03-05,S,M,chase10@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,chase10,adventure-works,1974,49.0,No
11163,Mr.,Gabriel,Wang,1974-12-20,M,M,gabriel21@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,gabriel21,adventure-works,1974,48.0,No
11164,Mr.,Devin,Brooks,1974-05-05,S,M,devin63@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,devin63,adventure-works,1974,48.0,No
11165,Ms.,Jocelyn,Alexander,1973-07-18,M,F,jocelyn18@adventure-works.com,60000.0,0,Partial College,Skilled Manual,N,jocelyn18,adventure-works,1973,49.0,No
11166,Ms.,Ashley,Martinez,1972-04-24,S,F,ashley18@adventure-works.com,70000.0,0,Partial College,Skilled Manual,N,ashley18,adventure-works,1972,50.0,No
11167,Ms.,Jasmine,Barnes,1972-08-01,S,F,jasmine43@adventure-works.com,80000.0,0,Bachelors,Management,N,jasmine43,adventure-works,1972,50.0,No
11168,Mr.,David,Rodriguez,1968-05-15,S,M,david83@adventure-works.com,80000.0,0,Bachelors,Management,N,david83,adventure-works,1968,54.0,No
